f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f jV0300m jV0300f jV0500m jV0500f 
4.64159 0.0876752 78.2968 0.089337 79.7884 0 0 0.306853 -46.1383 1 -0 0.000301698 -44.7643 2.88164e-05 -95.1051
4.75081 0.0896602 78.028 0.0913611 79.5547 0 0 0.318842 -45.7883 1 -0 0.000313645 -44.4268 2.94781e-05 -95.2201
4.8626 0.0916865 77.7533 0.0934275 79.3159 0 0 0.331363 -45.4496 1 -0 0.000326125 -44.1011 3.01542e-05 -95.3374
4.97702 0.0937548 77.4726 0.0955366 79.0719 0 0 0.344439 -45.1226 1 -0 0.000339162 -43.7875 3.0845e-05 -95.4572
5.09414 0.0958655 77.1858 0.0976893 78.8228 0 0 0.358095 -44.8075 1 -0 0.000352779 -43.4863 3.15508e-05 -95.5793
5.21401 0.0980192 76.8928 0.099886 78.5683 0 0 0.372358 -44.5048 1 -0 0.000367003 -43.1979 3.22718e-05 -95.7039
5.3367 0.100217 76.5936 0.102127 78.3084 0 0 0.387253 -44.2146 1 -0 0.000381859 -42.9224 3.30083e-05 -95.8309
5.46228 0.102458 76.2879 0.104414 78.0431 0 0 0.402808 -43.9373 1 -0 0.000397377 -42.6602 3.37606e-05 -95.9605
5.59081 0.104745 75.9757 0.106746 77.7722 0 0 0.419053 -43.6732 1 -0 0.000413584 -42.4115 3.45289e-05 -96.0926
5.72237 0.107076 75.6569 0.109125 77.4956 0 0 0.436016 -43.4225 1 -0 0.000430511 -42.1765 3.53136e-05 -96.2272
5.85702 0.109454 75.3314 0.111551 77.2133 0 0 0.45373 -43.1855 1 -0 0.000448188 -41.9554 3.61148e-05 -96.3644
5.99484 0.111878 74.999 0.114024 76.9252 0 0 0.472225 -42.9624 1 -0 0.000466648 -41.7485 3.69328e-05 -96.5041
6.13591 0.114348 74.6597 0.116545 76.6312 0 0 0.491536 -42.7535 1 -0 0.000485923 -41.556 3.7768e-05 -96.6465
6.28029 0.116866 74.3134 0.119114 76.3312 0 0 0.511696 -42.5588 1 -0 0.000506049 -41.378 3.86205e-05 -96.7915
6.42807 0.119431 73.9599 0.121733 76.0252 0 0 0.532742 -42.3787 1 -0 0.00052706 -41.2146 3.94907e-05 -96.9392
6.57933 0.122044 73.5991 0.1244 75.713 0 0 0.554711 -42.2134 1 -0 0.000548995 -41.0662 4.03788e-05 -97.0895
6.73415 0.124706 73.231 0.127117 75.3945 0 0 0.57764 -42.0629 1 -0 0.00057189 -40.9328 4.1285e-05 -97.2425
6.89261 0.127416 72.8554 0.129884 75.0698 0 0 0.601569 -41.9275 1 -0 0.000595786 -40.8145 4.22097e-05 -97.3981
7.0548 0.130175 72.4723 0.132701 74.7388 0 0 0.62654 -41.8073 1 -0 0.000620723 -40.7115 4.31531e-05 -97.5564
7.22081 0.132983 72.0816 0.135568 74.4013 0 0 0.652594 -41.7024 1 -0 0.000646743 -40.6238 4.41154e-05 -97.7174
7.39072 0.13584 71.6831 0.138486 74.0573 0 0 0.679774 -41.613 1 -0 0.000673891 -40.5517 4.50968e-05 -97.8811
7.56463 0.138746 71.2768 0.141455 73.7068 0 0 0.708127 -41.5391 1 -0 0.00070221 -40.4951 4.60977e-05 -98.0474
7.74264 0.141702 70.8625 0.144475 73.3497 0 0 0.737697 -41.4809 1 -0 0.000731748 -40.4542 4.71182e-05 -98.2164
7.92483 0.144707 70.4403 0.147546 72.9859 0 0 0.768533 -41.4384 1 -0 0.000762551 -40.429 4.81586e-05 -98.3881
8.11131 0.147762 70.01 0.150668 72.6154 0 0 0.800684 -41.4118 1 -0 0.000794668 -40.4195 4.92191e-05 -98.5623
8.30218 0.150866 69.5716 0.15384 72.2382 0 0 0.8342 -41.401 1 -0 0.000828151 -40.4259 5.03e-05 -98.7392
8.49753 0.154019 69.1249 0.157063 71.8542 0 0 0.869133 -41.4061 1 -0 0.000863051 -40.4481 5.14014e-05 -98.9186
8.69749 0.157221 68.67 0.160337 71.4634 0 0 0.905536 -41.4272 1 -0 0.00089942 -40.4862 5.25235e-05 -99.1006
8.90215 0.160471 68.2067 0.163661 71.0657 0 0 0.943463 -41.4643 1 -0 0.000937314 -40.5402 5.36666e-05 -99.285
9.11163 0.16377 67.735 0.167035 70.6612 0 0 0.982972 -41.5174 1 -0 0.000976789 -40.61 5.48308e-05 -99.4719
9.32603 0.167116 67.2549 0.170459 70.2498 0 0 1.02412 -41.5864 1 -0 0.0010179 -40.6957 5.60164e-05 -99.6613
9.54548 0.170509 66.7663 0.173931 69.8316 0 0 1.06696 -41.6714 1 -0 0.00106071 -40.7973 5.72234e-05 -99.8529
9.7701 0.173949 66.2692 0.177452 69.4065 0 0 1.11156 -41.7724 1 -0 0.00110528 -40.9146 5.84521e-05 -100.047
10 0.177434 65.7635 0.18102 68.9745 0 0 1.15798 -41.8893 1 -0 0.00115166 -41.0478 5.97026e-05 -100.243
10.2353 0.180964 65.2493 0.184635 68.5357 0 0 1.20628 -42.0221 1 -0 0.00119992 -41.1966 6.09751e-05 -100.441
10.4762 0.184538 64.7266 0.188296 68.09 0 0 1.25653 -42.1707 1 -0 0.00125013 -41.361 6.22697e-05 -100.642
10.7227 0.188155 64.1952 0.192002 67.6376 0 0 1.30878 -42.335 1 -0 0.00130235 -41.5411 6.35864e-05 -100.844
10.975 0.191813 63.6553 0.195752 67.1785 0 0 1.36311 -42.5149 1 -0 0.00135664 -41.7365 6.49256e-05 -101.048
11.2332 0.195512 63.1068 0.199545 66.7128 0 0 1.41958 -42.7105 1 -0 0.00141307 -41.9474 6.62872e-05 -101.254
11.4976 0.19925 62.5498 0.20338 66.2404 0 0 1.47826 -42.9214 1 -0 0.00147171 -42.1735 6.76713e-05 -101.462
11.7681 0.203026 61.9844 0.207254 65.7615 0 0 1.53923 -43.1477 1 -0 0.00153264 -42.4147 6.90781e-05 -101.671
12.045 0.206838 61.4105 0.211167 65.2762 0 0 1.60254 -43.3892 1 -0 0.00159591 -42.6709 7.05076e-05 -101.881
12.3285 0.210684 60.8282 0.215118 64.7846 0 0 1.66827 -43.6457 1 -0 0.0016616 -42.9419 7.19599e-05 -102.093
12.6186 0.214564 60.2376 0.219103 64.2868 0 0 1.7365 -43.917 1 -0 0.00172978 -43.2276 7.34352e-05 -102.306
12.9155 0.218473 59.6387 0.223122 63.7829 0 0 1.80728 -44.2031 1 -0 0.00180052 -43.5278 7.49333e-05 -102.52
13.2194 0.222412 59.0317 0.227173 63.2731 0 0 1.88071 -44.5037 1 -0 0.0018739 -43.8423 7.64545e-05 -102.734
13.5305 0.226378 58.4167 0.231254 62.7575 0 0 1.95685 -44.8186 1 -0 0.00194999 -44.1709 7.79988e-05 -102.95
13.8489 0.230368 57.7937 0.235362 62.2363 0 0 2.03576 -45.1477 1 -0 0.00202886 -44.5133 7.95661e-05 -103.165
14.1747 0.23438 57.163 0.239495 61.7096 0 0 2.11754 -45.4906 1 -0 0.00211058 -44.8695 8.11567e-05 -103.381
14.5083 0.238412 56.5246 0.243651 61.1777 0 0 2.20225 -45.8471 1 -0 0.00219524 -45.2391 8.27705e-05 -103.598
14.8497 0.242461 55.8787 0.247828 60.6408 0 0 2.28996 -46.2171 1 -0 0.00228289 -45.6218 8.44076e-05 -103.813
15.1991 0.246525 55.2254 0.252024 60.0991 0 0 2.38075 -46.6002 1 -0 0.00237363 -46.0175 8.60681e-05 -104.029
15.5568 0.250601 54.565 0.256235 59.5527 0 0 2.4747 -46.9962 1 -0 0.00246752 -46.4258 8.7752e-05 -104.244
15.9228 0.254686 53.8975 0.260459 59.0021 0 0 2.57187 -47.4047 1 -0 0.00256463 -46.8465 8.94595e-05 -104.459
16.2975 0.258778 53.2233 0.264693 58.4473 0 0 2.67234 -47.8256 1 -0 0.00266505 -47.2793 9.11905e-05 -104.672
16.681 0.262873 52.5426 0.268935 57.8888 0 0 2.77619 -48.2584 1 -0 0.00276883 -47.7238 9.29453e-05 -104.884
17.0735 0.266969 51.8554 0.273181 57.3267 0 0 2.88349 -48.7028 1 -0 0.00287606 -48.1798 9.4724e-05 -105.095
17.4753 0.271062 51.1622 0.27743 56.7614 0 0 2.9943 -49.1586 1 -0 0.00298681 -48.6468 9.65266e-05 -105.305
17.8865 0.27515 50.4631 0.281678 56.1931 0 0 3.10871 -49.6254 1 -0 0.00310115 -49.1247 9.83534e-05 -105.512
18.3074 0.279229 49.7583 0.285922 55.6223 0 0 3.22678 -50.1028 1 -0 0.00321915 -49.613 0.000100205 -105.717
18.7382 0.283297 49.0482 0.290159 55.0492 0 0 3.34859 -50.5905 1 -0 0.00334088 -50.1113 0.00010208 -105.92
