f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f jV0500m jV0500f jV0700m jV0700f jV0200m jV0200f jV0400m jV0400f jV0013m jV0013f jV0015m jV0015f jV0010m jV0010f jV0012m jV0012f
1.2915496650e+004 4.342903158809597e+001 -0.042061217203317 0.000000000000000e+000 0.000000000000000 4.342945849954221e+001 -0.047191278733775 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.340199702607329e+002 -2.035244241923010 0.000000000000000e+000 179.999999999988148 4.584702618968812e+001 -0.252306997424684 4.342903158809597e+001 179.957938782784822 0.000000000000000e+000 0.000000000000000 4.342945849954221e+001 179.952808721254371 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.340199702607329e+002 177.964755758065138 0.000000000000000e+000 0.000000000000000 4.584702618968767e+001 179.747693002563466 1.088313026440022e+002 177.964732469394903 8.670929676832410e+000 179.743353300063887 7.999997844466142e-001 179.957629180477511 7.966045599095526e-001 179.945956713357930 1.088313026440022e+002 177.964732469394903 8.670929676832307e+000 179.743353300063887 7.999997844466142e-001 179.957629180477511 7.966045599095526e-001 179.945956713357930
1.6681005372e+004 4.342902376983464e+001 -0.054324144469300 0.000000000000000e+000 0.000000000000000 4.342944865774935e+001 -0.060949871032100 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.338372223967806e+002 -2.627880932987196 0.000000000000000e+000 179.999999999988148 4.584672920825750e+001 -0.325865610761305 4.342902376983464e+001 179.945675855518857 0.000000000000000e+000 0.000000000000000 4.342944865774935e+001 179.939050128956040 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.338372223967806e+002 177.372119067000966 0.000000000000000e+000 0.000000000000000 4.584672920825707e+001 179.674134389226850 1.087854782823380e+002 177.372088988526713 8.670873526118180e+000 179.668529447924385 7.999996404353783e-001 179.945275988762546 7.966043831923224e-001 179.930200420480929 1.087854782823380e+002 177.372088988526713 8.670873526118079e+000 179.668529447924413 7.999996404353783e-001 179.945275988762546 7.966043831923224e-001 179.930200420480929
2.1544346900e+004 4.342901072819808e+001 -0.070162316545150 0.000000000000000e+000 0.000000000000000 4.342943224066430e+001 -0.078719765675908 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.335328936154290e+002 -3.392450722424256 0.000000000000000e+000 179.999999999988148 4.584623382621620e+001 -0.420868588667389 4.342901072819808e+001 179.929837683442997 0.000000000000000e+000 0.000000000000000 4.342943224066430e+001 179.921280234312235 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.335328936154290e+002 176.607549277563891 0.000000000000000e+000 0.000000000000000 4.584623382621576e+001 179.579131411320759 1.087091672829102e+002 176.607510429720577 8.670779863510026e+000 179.571892351274585 7.999994002103316e-001 179.929321235667828 7.966040884104850e-001 179.909850396356433 1.087091672829102e+002 176.607510429720577 8.670779863509923e+000 179.571892351274585 7.999994002103316e-001 179.929321235667828 7.966040884104850e-001 179.909850396356433
2.7825594022e+004 4.342898897346331e+001 -0.090618086168546 0.000000000000000e+000 0.000000000000000 4.342940485535731e+001 -0.101670444248495 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.330266647032369e+002 -4.378104988043916 0.000000000000000e+000 179.999999999988148 4.584540751490031e+001 -0.543566153224560 4.342898897346331e+001 179.909381913819601 0.000000000000000e+000 0.000000000000000 4.342940485535731e+001 179.898329555739650 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.330266647032369e+002 175.621895011944247 0.000000000000000e+000 0.000000000000000 4.584540751489987e+001 179.456433846763588 1.085822294558107e+002 175.621844838025197 8.670623631619859e+000 179.447084241219159 7.999989994912838e-001 179.908714895868599 7.966035966854927e-001 179.883567352487489 1.085822294558107e+002 175.621844838025197 8.670623631619758e+000 179.447084241219159 7.999989994912838e-001 179.908714895868599 7.966035966854927e-001 179.883567352487489
3.5938136638e+004 4.342895268445128e+001 -0.117037693637854 0.000000000000000e+000 0.000000000000000 4.342935917402731e+001 -0.131312336130116 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.321861559669935e+002 -5.647213058634675 0.000000000000000e+000 179.999999999988148 4.584402924397066e+001 -0.702028612266692 4.342895268445128e+001 179.882962306350294 0.000000000000000e+000 0.000000000000000 4.342935917402731e+001 179.868687663858026 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.321861559669935e+002 174.352786941353486 0.000000000000000e+000 0.000000000000000 4.584402924397022e+001 179.297971387721475 1.083714703504588e+002 174.352722139245174 8.670363039919344e+000 179.285895907884139 7.999983310529650e-001 179.882100819539147 7.966027764408534e-001 179.849621545474662 1.083714703504588e+002 174.352722139245174 8.670363039919243e+000 179.285895907884139 7.999983310529650e-001 179.882100819539147 7.966027764408534e-001 179.849621545474662
4.6415888336e+004 4.342889215093325e+001 -0.151159853548875 0.000000000000000e+000 0.000000000000000 4.342928297329698e+001 -0.169596205359465 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.307949289325722e+002 -7.277968302816507 0.000000000000000e+000 179.999999999988148 4.584173042609009e+001 -0.906674507207382 4.342889215093325e+001 179.848840146439272 0.000000000000000e+000 0.000000000000000 4.342928297329698e+001 179.830403794628694 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.307949289325722e+002 172.722031697171644 0.000000000000000e+000 0.000000000000000 4.584173042608965e+001 179.093325492780792 1.080226176229709e+002 172.721948002030359 8.669928399065594e+000 179.077729410996255 7.999972160343750e-001 179.847727493436992 7.966014081961307e-001 179.805778956424774 1.080226176229709e+002 172.721948002030359 8.669928399065491e+000 179.077729410996284 7.999972160343750e-001 179.847727493436992 7.966014081961307e-001 179.805778956424774
5.9948425032e+004 4.342879117550262e+001 -0.195230155597287 0.000000000000000e+000 0.000000000000000 4.342915586371037e+001 -0.219041494821780 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.285038237539792e+002 -9.366404827091912 0.000000000000000e+000 179.999999999988148 4.583789653618763e+001 -1.170949861758588 4.342879117550262e+001 179.804769844390876 0.000000000000000e+000 0.000000000000000 4.342915586371037e+001 179.780958505166382 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.285038237539792e+002 170.633595172896236 0.000000000000000e+000 0.000000000000000 4.583789653618719e+001 178.829050138229576 1.074481188023339e+002 170.633487076464547 8.669203519917273e+000 178.808907024357609 7.999953560816420e-001 179.803332797778609 7.965991258425128e-001 179.749154304941356 1.074481188023339e+002 170.633487076464547 8.669203519917170e+000 178.808907024357637 7.999953560816420e-001 179.803332797778609 7.965991258425128e-001 179.749154304941356
7.7426368268e+004 4.342862273989985e+001 -0.252148790097777 0.000000000000000e+000 0.000000000000000 4.342894383462426e+001 -0.282902048468910 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.247620518600519e+002 -12.026317366993624 0.000000000000000e+000 179.999999999988148 4.583150336241675e+001 -1.512199267053234 4.342862273989985e+001 179.747851209890371 0.000000000000000e+000 0.000000000000000 4.342894383462426e+001 179.717097951519236 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.247620518600519e+002 167.973682632994525 0.000000000000000e+000 0.000000000000000 4.583150336241631e+001 178.487800732934943 1.065098626453328e+002 167.973543021084396 8.667994753279993e+000 178.461784901677333 7.999922535223597e-001 179.745995192819947 7.965953186921262e-001 179.676021250191212 1.065098626453328e+002 167.973543021084396 8.667994753279892e+000 178.461784901677362 7.999922535223597e-001 179.745995192819947 7.965953186921262e-001 179.676021250191212
1.0000000000e+005 4.342834177674157e+001 -0.325661280786761 0.000000000000000e+000 0.000000000000000 4.342859015570248e+001 -0.365380062175707 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.187327646047081e+002 -15.384105771222092 0.000000000000000e+000 179.999999999988148 4.582084485606856e+001 -1.952777603885431 4.342834177674157e+001 179.674338719201387 0.000000000000000e+000 0.000000000000000 4.342859015570248e+001 179.634619937812460 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.187327646047081e+002 164.615894228766052 0.000000000000000e+000 0.000000000000000 4.582084485606812e+001 178.047222396102740 1.049980078209309e+002 164.615713913050286 8.665979534137040e+000 178.013621659499677 7.999870782218872e-001 179.671941580976380 7.965889681074787e-001 179.581567344044885 1.049980078209309e+002 164.615713913050286 8.665979534136939e+000 178.013621659499677 7.999870782218872e-001 179.671941580976380 7.965889681074787e-001 179.581567344044885
1.2915496650e+005 4.342787311408100e+001 -0.420604692056631 0.000000000000000e+000 0.000000000000000 4.342800020293149e+001 -0.471902223144118 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.092225268337446e+002 -19.563514461536354 0.000000000000000e+000 179.999999999988148 4.580308193188309e+001 -2.521457268883751 4.342787311408100e+001 179.579395307931520 0.000000000000000e+000 0.000000000000000 4.342800020293149e+001 179.528097776844021 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 4.092225268337446e+002 160.436485538451791 0.000000000000000e+000 0.000000000000000 4.580308193188266e+001 177.478542731104426 1.026132982779482e+002 160.436252651749498 8.662621072792140e+000 177.435145714324250 7.999784455239130e-001 179.576299284861221 7.965783750415046e-001 179.459577730218314 1.026132982779482e+002 160.436252651749498 8.662621072792041e+000 177.435145714324278 7.999784455239130e-001 179.576299284861221 7.965783750415046e-001 179.459577730218314
1.6681005372e+005 4.342709137140871e+001 -0.543225329923650 0.000000000000000e+000 0.000000000000000 4.342701615589755e+001 -0.609475951080839 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 3.947055601218884e+002 -24.653874753683628 0.000000000000000e+000 179.999999999988148 4.577349750383254e+001 -3.255184360233800 4.342709137140871e+001 179.456774670064505 0.000000000000000e+000 0.000000000000000 4.342701615589755e+001 179.390524048907309 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 3.947055601218884e+002 155.346125246304524 0.000000000000000e+000 0.000000000000000 4.577349750383210e+001 176.744815639754393 9.897314228116848e+001 155.345824461562188 8.657027503751628e+000 176.688766244430184 7.999640459377159e-001 179.452776002507790 7.965607057098537e-001 179.302027033827414 9.897314228116848e+001 155.345824461562188 8.657027503751525e+000 176.688766244430212 7.999640459377159e-001 179.452776002507790 7.965607057098537e-001 179.302027033827414
2.1544346900e+005 4.342578743997710e+001 -0.701588448496854 0.000000000000000e+000 0.000000000000000 4.342537481536097e+001 -0.787148625708720 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 3.735875008655972e+002 -30.658920912227671 0.000000000000000e+000 179.999999999988148 4.572427501714336e+001 -4.201215988413092 4.342578743997710e+001 179.298411551491313 0.000000000000000e+000 0.000000000000000 4.342537481536097e+001 179.212851374279438 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 3.735875008655972e+002 149.341079087760477 0.000000000000000e+000 0.000000000000000 4.572427501714294e+001 175.798784011575094 9.367775023630037e+001 149.340690609327282 8.647720941975399e+000 175.726393449247468 7.999400277106369e-001 179.293247073753520 7.965312341797238e-001 179.098553144823768 9.367775023630037e+001 149.340690609327282 8.647720941975299e+000 175.726393449247496 7.999400277106369e-001 179.293247073753520 7.965312341797238e-001 179.098553144823768
2.7825594022e+005 4.342361261260636e+001 -0.906106070814166 0.000000000000000e+000 0.000000000000000 4.342263730842703e+001 -1.016598816360322 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 3.448336029228261e+002 -37.438179720329067 0.000000000000000e+000 179.999999999988148 4.564251915087720e+001 -5.419603037656853 4.342361261260636e+001 179.093893929173987 0.000000000000000e+000 0.000000000000000 4.342263730842703e+001 178.983401183627819 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 3.448336029228261e+002 142.561820279659088 0.000000000000000e+000 0.000000000000000 4.564251915087678e+001 174.580396962331349 8.646765765272657e+001 142.561318540468818 8.632263256945880e+000 174.486900989044642 7.998999677072742e-001 179.087223749693834 7.964820801921672e-001 178.835779474491517 8.646765765272657e+001 142.561318540468818 8.632263256945782e+000 174.486900989044670 7.998999677072742e-001 179.087223749693834 7.964820801921672e-001 178.835779474491517
3.5938136638e+005 4.341998550892674e+001 -1.170215820644180 0.000000000000000e+000 0.000000000000000 4.341807202349364e+001 -1.312895825713318 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 3.088122595678720e+002 -44.678171618359777 0.000000000000000e+000 179.999999999988148 4.550711264831230e+001 -6.985813765540223 4.341998550892674e+001 178.829784179343960 0.000000000000000e+000 0.000000000000000 4.341807202349364e+001 178.687104174274822 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 3.088122595678720e+002 135.321828381628364 0.000000000000000e+000 0.000000000000000 4.550711264831187e+001 173.014186234447976 7.743523981895611e+001 135.321180360545299 8.606661796462332e+000 172.893431613077780 7.998331569860965e-001 178.821169311296813 7.964001072268855e-001 178.496443687152151 7.743523981895611e+001 135.321180360545299 8.606661796462232e+000 172.893431613077837 7.998331569860965e-001 178.821169311296813 7.964001072268855e-001 178.496443687152151
4.6415888336e+005 4.341393715740281e+001 -1.511251480769643 0.000000000000000e+000 0.000000000000000 4.341045987251061e+001 -1.695471947207062 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 2.677442304542649e+002 -51.938667697447954 0.000000000000000e+000 179.999999999988148 4.528389824809169e+001 -8.992919465845388 4.341393715740281e+001 178.488748519218518 0.000000000000000e+000 0.000000000000000 4.341045987251061e+001 178.304528052781080 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 2.677442304542649e+002 128.061332302540194 0.000000000000000e+000 0.000000000000000 4.528389824809127e+001 171.007080534142830 6.713735628652088e+001 128.060495351127429 8.564458447555486e+000 170.851120097638500 7.997217472331639e-001 178.477621989334068 7.962634260007407e-001 178.058281171753549 6.713735628652088e+001 128.060495351127429 8.564458447555387e+000 170.851120097638557 7.997217472331639e-001 178.477621989334068 7.962634260007407e-001 178.058281171753549
5.9948425032e+005 4.340385352124704e+001 -1.951554059761494 0.000000000000000e+000 0.000000000000000 4.339777094414112e+001 -2.189359420153874 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 2.251486127223480e+002 -58.773371295697551 0.000000000000000e+000 179.999999999988148 4.491875370842857e+001 -11.552008241182575 4.340385352124704e+001 178.048445940226657 0.000000000000000e+000 0.000000000000000 4.339777094414112e+001 177.810640579834285 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 2.251486127223480e+002 121.226628704290604 0.000000000000000e+000 0.000000000000000 4.491875370842816e+001 168.447991758805671 5.645642711025918e+001 121.225547739973862 8.495420375017165e+000 168.246561441657491 7.995360081277204e-001 178.034075474402329 7.960355889893529e-001 177.492601811391438 5.645642711025918e+001 121.225547739973862 8.495420375017069e+000 168.246561441657576 7.995360081277204e-001 178.034075474402329 7.960355889893529e-001 177.492601811391438
7.7426368268e+005 4.338704862688611e+001 -2.519878225090842 0.000000000000000e+000 0.000000000000000 4.337662927456925e+001 -2.826747761501717 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 1.845394143198111e+002 -64.854511693440514 0.000000000000000e+000 179.999999999988148 4.432883140157887e+001 -14.788134559437729 4.338704862688611e+001 177.480121774897299 0.000000000000000e+000 0.000000000000000 4.337662927456925e+001 177.173252238486441 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 1.845394143198111e+002 115.145488306547634 0.000000000000000e+000 0.000000000000000 4.432883140157848e+001 165.211865440550525 4.627359622065743e+001 115.144092187446574 8.383883817672055e+000 164.951708897987629 7.992264644328669e-001 177.461561604835794 7.956559812694902e-001 176.762492192145714 4.627359622065743e+001 115.144092187446574 8.383883817671963e+000 164.951708897987743 7.992264644328669e-001 177.461561604835794 7.956559812694902e-001 176.762492192145714
1.0000000000e+006 4.335905975819277e+001 -3.253147578789103 0.000000000000000e+000 0.000000000000000 4.334143149863997e+001 -3.648909005943293 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 1.483466815430130e+002 -70.026756064614545 0.000000000000000e+000 179.999999999988148 4.339447617224027e+001 -18.827118710303878 4.335905975819277e+001 176.746852421199037 0.000000000000000e+000 0.000000000000000 4.334143149863997e+001 176.351090994044853 0.000000000000000e+000 0.000000000000000 0.000000000000000e+000 0.000000000000000 1.483466815430130e+002 109.973243935373617 0.000000000000000e+000 0.000000000000000 4.339447617223989e+001 161.172881289684398 3.719820217842979e+001 109.971440778216547 8.207226327676745e+000 160.836877736999384 7.987109135819549e-001 176.722881040333647 7.950239988239356e-001 175.820580065873401 3.719820217842979e+001 109.971440778216547 8.207226327676656e+000 160.836877736999526 7.987109135819549e-001 176.722881040333647 7.950239988239356e-001 175.820580065873401
