F 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f jL0400m jL0400f jL0600m jL0600f jL0809m jL0809f jV0300m jV0300f jV0500m jV0500f jV1000m jV1000f
1.7886e-002 1.00000e+000 58.310 9.93744e-001 -6.412 1.00000e+000 -0.000 1.11681e-001 -159.792 1.00000e+000 116.620 1.27917e-002 179.837 1.31044e-002 167.296 3.56062e+001 -30.081 3.51569e+001 -30.060 1.00000e+000 0.000 2.48436e-001 110.208 2.84553e-002 89.837 1.00000e+000 -121.690 2.79203e-002 -96.412 2.48436e-001 -69.792 2.84553e-002 -90.163
1.8307e-002 1.00000e+000 58.310 9.93449e-001 -6.562 1.00000e+000 -0.000 1.14275e-001 -159.942 1.00000e+000 116.620 1.34090e-002 179.833 1.37220e-002 167.571 3.47883e+001 -30.043 3.43284e+001 -30.021 1.00000e+000 0.000 2.48362e-001 110.058 2.91427e-002 89.833 1.00000e+000 -121.690 2.85688e-002 -96.562 2.48362e-001 -69.942 2.91427e-002 -90.167
1.8738e-002 1.00000e+000 58.310 9.93140e-001 -6.715 1.00000e+000 -0.000 1.16928e-001 -160.095 1.00000e+000 116.620 1.40564e-002 179.829 1.43698e-002 167.841 3.39892e+001 -30.004 3.35185e+001 -29.980 1.00000e+000 0.000 2.48285e-001 109.905 2.98475e-002 89.829 1.00000e+000 -121.690 2.92320e-002 -96.715 2.48285e-001 -70.095 2.98475e-002 -90.171
1.9179e-002 1.00000e+000 58.310 9.92817e-001 -6.871 1.00000e+000 -0.000 1.19640e-001 -160.251 1.00000e+000 116.620 1.47356e-002 179.825 1.50493e-002 168.105 3.32085e+001 -29.964 3.27267e+001 -29.939 1.00000e+000 0.000 2.48204e-001 109.749 3.05703e-002 89.825 1.00000e+000 -121.690 2.99101e-002 -96.871 2.48204e-001 -70.251 3.05703e-002 -90.175
1.9630e-002 1.00000e+000 58.310 9.92479e-001 -7.031 1.00000e+000 -0.000 1.22414e-001 -160.411 1.00000e+000 116.620 1.54481e-002 179.821 1.57622e-002 168.363 3.24457e+001 -29.924 3.19526e+001 -29.896 1.00000e+000 0.000 2.48120e-001 109.589 3.13116e-002 89.821 1.00000e+000 -121.690 3.06035e-002 -97.031 2.48120e-001 -70.411 3.13116e-002 -90.179
2.0092e-002 1.00000e+000 58.310 9.92125e-001 -7.195 1.00000e+000 -0.000 1.25250e-001 -160.575 1.00000e+000 116.620 1.61955e-002 179.816 1.65100e-002 168.615 3.17005e+001 -29.882 3.11958e+001 -29.853 1.00000e+000 0.000 2.48031e-001 109.425 3.20719e-002 89.816 1.00000e+000 -121.690 3.13124e-002 -97.195 2.48031e-001 -70.575 3.20719e-002 -90.184
2.0565e-002 1.00000e+000 58.310 9.91755e-001 -7.363 1.00000e+000 -0.000 1.28149e-001 -160.742 1.00000e+000 116.620 1.69798e-002 179.812 1.72947e-002 168.862 3.09724e+001 -29.840 3.04558e+001 -29.808 1.00000e+000 0.000 2.47939e-001 109.258 3.28520e-002 89.812 1.00000e+000 -121.690 3.20373e-002 -97.363 2.47939e-001 -70.742 3.28520e-002 -90.188
2.1049e-002 1.00000e+000 58.310 9.91367e-001 -7.534 1.00000e+000 -0.000 1.31113e-001 -160.914 1.00000e+000 116.620 1.78027e-002 179.807 1.81180e-002 169.103 3.02611e+001 -29.796 2.97324e+001 -29.763 1.00000e+000 0.000 2.47842e-001 109.086 3.36522e-002 89.807 1.00000e+000 -121.690 3.27783e-002 -97.534 2.47842e-001 -70.914 3.36522e-002 -90.193
2.1544e-002 1.00000e+000 58.310 9.90962e-001 -7.709 1.00000e+000 -0.000 1.34144e-001 -161.089 1.00000e+000 116.620 1.86662e-002 179.802 1.89819e-002 169.339 2.95662e+001 -29.752 2.90250e+001 -29.716 1.00000e+000 0.000 2.47740e-001 108.911 3.44733e-002 89.802 1.00000e+000 -121.690 3.35359e-002 -97.709 2.47740e-001 -71.089 3.44733e-002 -90.198
2.2051e-002 1.00000e+000 58.310 9.90538e-001 -7.888 1.00000e+000 -0.000 1.37241e-001 -161.268 1.00000e+000 116.620 1.95724e-002 179.798 1.98885e-002 169.569 2.88872e+001 -29.706 2.83334e+001 -29.667 1.00000e+000 0.000 2.47634e-001 108.732 3.53158e-002 89.798 1.00000e+000 -121.690 3.43104e-002 -97.888 2.47634e-001 -71.268 3.53158e-002 -90.202
