f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0500m jV0500f jV0700m jV0700f jV0200m jV0200f jV0400m jV0400f
1.2915496650e+004 4.342903158809597e+001 -0.042061217203317 0.000000000000000e+000 0.000000000000000 4.342945849954221e+001 -0.047191278733775 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.340199702607329e+002 -2.035244241923010 0.000000000000000e+000 179.999999999988148 4.584702618968812e+001 -0.252306997424684 1.088313026440022e+002 177.964732469394903 8.670929676832410e+000 179.743353300063887 7.999997844466142e-001 179.957629180477511 7.966045599095526e-001 179.945956713357930
1.6681005372e+004 4.342902376983464e+001 -0.054324144469300 0.000000000000000e+000 0.000000000000000 4.342944865774935e+001 -0.060949871032100 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.338372223967806e+002 -2.627880932987196 0.000000000000000e+000 179.999999999988148 4.584672920825750e+001 -0.325865610761305 1.087854782823380e+002 177.372088988526713 8.670873526118180e+000 179.668529447924385 7.999996404353783e-001 179.945275988762546 7.966043831923224e-001 179.930200420480929
2.1544346900e+004 4.342901072819808e+001 -0.070162316545150 0.000000000000000e+000 0.000000000000000 4.342943224066430e+001 -0.078719765675908 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.335328936154290e+002 -3.392450722424256 0.000000000000000e+000 179.999999999988148 4.584623382621620e+001 -0.420868588667389 1.087091672829102e+002 176.607510429720577 8.670779863510026e+000 179.571892351274585 7.999994002103316e-001 179.929321235667828 7.966040884104850e-001 179.909850396356433
2.7825594022e+004 4.342898897346331e+001 -0.090618086168546 0.000000000000000e+000 0.000000000000000 4.342940485535731e+001 -0.101670444248495 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.330266647032369e+002 -4.378104988043916 0.000000000000000e+000 179.999999999988148 4.584540751490031e+001 -0.543566153224560 1.085822294558107e+002 175.621844838025197 8.670623631619859e+000 179.447084241219159 7.999989994912838e-001 179.908714895868599 7.966035966854927e-001 179.883567352487489
3.5938136638e+004 4.342895268445128e+001 -0.117037693637854 0.000000000000000e+000 0.000000000000000 4.342935917402731e+001 -0.131312336130116 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.321861559669935e+002 -5.647213058634675 0.000000000000000e+000 179.999999999988148 4.584402924397066e+001 -0.702028612266692 1.083714703504588e+002 174.352722139245174 8.670363039919344e+000 179.285895907884139 7.999983310529650e-001 179.882100819539147 7.966027764408534e-001 179.849621545474662
4.6415888336e+004 4.342889215093325e+001 -0.151159853548875 0.000000000000000e+000 0.000000000000000 4.342928297329698e+001 -0.169596205359465 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.307949289325722e+002 -7.277968302816507 0.000000000000000e+000 179.999999999988148 4.584173042609009e+001 -0.906674507207382 1.080226176229709e+002 172.721948002030359 8.669928399065594e+000 179.077729410996255 7.999972160343750e-001 179.847727493436992 7.966014081961307e-001 179.805778956424774
5.9948425032e+004 4.342879117550262e+001 -0.195230155597287 0.000000000000000e+000 0.000000000000000 4.342915586371037e+001 -0.219041494821780 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.285038237539792e+002 -9.366404827091912 0.000000000000000e+000 179.999999999988148 4.583789653618763e+001 -1.170949861758588 1.074481188023339e+002 170.633487076464547 8.669203519917273e+000 178.808907024357609 7.999953560816420e-001 179.803332797778609 7.965991258425128e-001 179.749154304941356
7.7426368268e+004 4.342862273989985e+001 -0.252148790097777 0.000000000000000e+000 0.000000000000000 4.342894383462426e+001 -0.282902048468910 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.247620518600519e+002 -12.026317366993624 0.000000000000000e+000 179.999999999988148 4.583150336241675e+001 -1.512199267053234 1.065098626453328e+002 167.973543021084396 8.667994753279993e+000 178.461784901677333 7.999922535223597e-001 179.745995192819947 7.965953186921262e-001 179.676021250191212
1.0000000000e+005 4.342834177674157e+001 -0.325661280786761 0.000000000000000e+000 0.000000000000000 4.342859015570248e+001 -0.365380062175707 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.187327646047081e+002 -15.384105771222092 0.000000000000000e+000 179.999999999988148 4.582084485606856e+001 -1.952777603885431 1.049980078209309e+002 164.615713913050286 8.665979534137040e+000 178.013621659499677 7.999870782218872e-001 179.671941580976380 7.965889681074787e-001 179.581567344044885
1.2915496650e+005 4.342787311408100e+001 -0.420604692056631 0.000000000000000e+000 0.000000000000000 4.342800020293149e+001 -0.471902223144118 0.000000000000000e+000 179.999999999988148 0.000000000000000e+000 179.999999999988148 4.092225268337446e+002 -19.563514461536354 0.000000000000000e+000 179.999999999988148 4.580308193188309e+001 -2.521457268883751 1.026132982779482e+002 160.436252651749498 8.662621072792140e+000 177.435145714324250 7.999784455239130e-001 179.576299284861221 7.965783750415046e-001 179.459577730218314
